"filename", "language", "PostCSS", "JavaScript", "JavaScript JSX", "XML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"e:\update_clinic\my-react-app\README.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 0, 8, 17
"e:\update_clinic\my-react-app\eslint.config.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"e:\update_clinic\my-react-app\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"e:\update_clinic\my-react-app\package-lock.json", "JSON", 0, 0, 0, 0, 0, 3340, 0, 0, 1, 3341
"e:\update_clinic\my-react-app\package.json", "JSON", 0, 0, 0, 0, 0, 32, 0, 0, 1, 33
"e:\update_clinic\my-react-app\public\favicon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\update_clinic\my-react-app\public\icons.svg", "XML", 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"e:\update_clinic\my-react-app\src\App.jsx", "JavaScript JSX", 0, 0, 55, 0, 0, 0, 0, 2, 7, 64
"e:\update_clinic\my-react-app\src\Components\Common\PrimaryButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\update_clinic\my-react-app\src\Components\Common\SearchBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\update_clinic\my-react-app\src\Components\Common\Sectiontitle.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\update_clinic\my-react-app\src\Components\Common\ServiceCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\update_clinic\my-react-app\src\Components\Container.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\update_clinic\my-react-app\src\Components\Footer.jsx", "JavaScript JSX", 0, 0, 248, 0, 0, 0, 0, 2, 20, 270
"e:\update_clinic\my-react-app\src\Components\Home\CheckupCalculatorSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\update_clinic\my-react-app\src\Components\Home\ContactSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
